9:56:00 AM,6/10/2026,260610-095140-182.bin,182,0,10.149,14.391,10.119,9.149,0.5,0.91,737.9,0.24,0.41,162.1,232.5,151,0.11,236.6,0.7,0.08,0.7,,,187.4,-82.6,6.88,-9.1,12.1,0
9:55:59 AM,6/10/2026,260610-095140-182.bin,182,0,10.099,14.387,10.117,9.148,0.46,0.68,737.8,0.26,0.39,162,232.4,151,0.11,236.5,0.7,0.07,0.7,,,187.6,-82.3,6.88,-9.1,12.1,0
9:55:58 AM,6/10/2026,260610-095140-182.bin,182,0,10.095,14.384,10.115,9.147,0.46,0.74,737.8,0.23,0.44,161.9,232.2,151,0.11,236.3,0.7,0.07,0.7,,,187.9,-81.9,6.88,-9.1,12.1,0
9:55:57 AM,6/10/2026,260610-095140-182.bin,182,0,10.137,14.388,10.117,9.146,0.59,0.87,737.9,0.26,0.45,161.9,232.3,151,0.11,236.4,0.6,0.07,0.7,,,188.1,-81.6,6.87,-9.1,12.1,0
9:55:56 AM,6/10/2026,260610-095140-182.bin,182,0,10.129,14.387,10.117,9.146,0.62,0.73,737.8,0.3,0.38,161.8,232.2,151,0.11,236.3,0.6,0.07,0.7,,,187.9,-81.3,6.87,-9.1,12.1,0
9:55:55 AM,6/10/2026,260610-095140-182.bin,182,0,10.098,14.385,10.116,9.142,0.56,0.76,737.7,0.35,0.35,161.8,232.1,151,0.11,236.2,0.6,0.07,0.7,,,187.9,-81,6.87,-9.1,12.1,0
9:55:54 AM,6/10/2026,260610-095140-182.bin,182,0,10.101,14.385,10.115,9.138,0.55,1.1,737.8,0.56,0.43,161.8,232.2,151,0.11,236.3,0.7,0.08,0.7,,,187.6,-80.7,6.87,-9.1,12.1,0
9:55:53 AM,6/10/2026,260610-095140-182.bin,182,0,10.129,14.387,10.117,9.133,0.45,1.2,737.9,0.51,0.5,161.8,232.2,151,0.11,236.3,0.7,0.08,0.7,,,187.5,-80.4,6.87,-9.1,12.1,0
9:55:52 AM,6/10/2026,260610-095140-182.bin,182,0,10.131,14.39,10.119,9.127,0.53,1.96,737.8,0.4,0.73,161.8,232.1,151,0.11,236.2,0.7,0.08,0.7,,,187.9,-80,6.88,-9.1,12.1,0
9:55:51 AM,6/10/2026,260610-095140-182.bin,182,0,10.11,14.39,10.119,9.134,0.88,2.3,737.8,0.53,0.79,161.7,232,151,0.11,236.1,0.7,0.08,0.7,,,187.8,-79.6,6.88,-9.1,12.1,0
9:55:50 AM,6/10/2026,260610-095140-182.bin,182,0,10.116,14.355,10.094,9.141,1,4.22,737.7,0.57,1.28,161.6,231.8,151,0.11,235.9,0.7,0.08,0.7,,,187.8,-79.2,6.88,-9.2,12.1,0
9:55:49 AM,6/10/2026,260610-095140-182.bin,182,0,10.063,14.259,10.027,9.143,0.76,5.86,737.8,0.53,1.53,161.3,231.4,150,0.11,235.5,0.7,0.08,0.7,,,187.7,-78.7,6.88,-9.2,12.1,0
9:55:48 AM,6/10/2026,260610-095140-182.bin,182,0,10,14.224,10.002,9.143,0.49,5.01,737.8,0.38,1.24,161,230.9,150,0.11,235,0.7,0.08,0.8,,,187.6,-78.3,6.88,-9.2,12.1,0
9:55:47 AM,6/10/2026,260610-095140-182.bin,182,0,9.997,14.186,9.975,9.14,0.31,2.91,737.8,0.24,1,160.6,230.3,150,0.11,234.4,0.7,0.09,0.8,,,187.5,-77.8,6.88,-9.3,12.1,0
9:55:46 AM,6/10/2026,260610-095140-182.bin,182,0,9.955,14.16,9.957,9.137,0.23,1.2,737.7,0.16,0.62,160.3,230,150,0.11,234.1,0.8,0.09,0.8,,,187.5,-77.1,6.88,-9.4,12.1,0
9:55:45 AM,6/10/2026,260610-095140-182.bin,182,0,9.898,14.065,9.89,9.17,0.17,0.67,737.8,0.13,0.39,159.9,229.2,149,0.11,233.2,0.8,0.09,0.8,,,187.7,-76.1,6.88,-9.6,12.1,0
9:55:44 AM,6/10/2026,260610-095140-182.bin,182,0,9.883,14.03,9.866,9.241,0.15,0.56,737.8,0.1,0.38,159.4,228,148,0.11,232,0.8,0.09,0.8,,,187.8,-75.4,6.89,-9.7,12.1,0
9:55:43 AM,6/10/2026,260610-095140-182.bin,182,0,9.849,13.967,9.821,9.259,0.06,0.6,737.9,0.08,0.4,159,227.4,148,0.11,231.4,0.8,0.09,0.8,,,187.9,-74.7,6.89,-9.7,12.1,0
9:55:42 AM,6/10/2026,260610-095140-182.bin,182,0,9.769,13.88,9.76,9.247,0.06,0.65,737.7,0.1,0.36,158.8,227.2,148,0.11,231.2,0.8,0.09,0.8,,,187.9,-73.9,6.89,-9.7,12.1,0
9:55:41 AM,6/10/2026,260610-095140-182.bin,182,0,9.701,13.806,9.708,9.239,0.09,0.56,737.9,0.12,0.38,158.6,226.9,147,0.11,230.9,0.8,0.09,0.8,,,188.1,-72.9,6.89,-9.8,12.1,0
9:55:40 AM,6/10/2026,260610-095140-182.bin,182,0,9.721,13.796,9.701,9.21,0.09,0.41,737.9,0.11,0.4,158.2,226.6,147,0.11,230.6,0.8,0.09,0.8,,,188.2,-72,6.89,-9.9,12.1,0
9:55:39 AM,6/10/2026,260610-095140-182.bin,182,0,9.668,13.672,9.614,9.211,0.09,0.39,737.8,0.09,0.37,157.5,225.5,147,0.11,229.5,0.8,0.09,0.8,,,188.1,-71.1,6.89,-10.1,12.1,0
9:55:38 AM,6/10/2026,260610-095140-182.bin,182,0,9.557,13.548,9.527,9.303,0.06,0.44,737.8,0.13,0.41,156.1,223,145,0.11,226.9,0.8,0.1,0.9,,,188.1,-70.2,6.9,-10.6,12.1,0
9:55:37 AM,6/10/2026,260610-095140-182.bin,182,0,9.439,13.389,9.415,9.357,0.06,0.44,737.8,0.13,0.4,155.3,221.4,144,0.11,225.3,0.9,0.1,0.9,,,188.3,-69.4,6.91,-10.8,12.1,0
9:55:36 AM,6/10/2026,260610-095140-182.bin,182,0,9.377,13.262,9.326,9.377,0.09,0.37,737.9,0.11,0.36,154.8,220.7,143,0.11,224.6,0.9,0.1,0.9,,,188.3,-68.3,6.91,-11,12.1,0
9:55:35 AM,6/10/2026,260610-095140-182.bin,182,0,9.236,13.013,9.151,9.424,0.09,0.43,737.7,0.08,0.38,154,219.2,142,0.1,223.1,0.9,0.1,0.9,,,188.3,-67.4,6.91,-11.1,12.1,0
9:55:34 AM,6/10/2026,260610-095140-182.bin,182,0,9.095,12.93,9.093,9.464,0.05,0.46,737.8,0.1,0.37,153.5,218.3,142,0.1,222.2,0.9,0.1,0.9,,,188.2,-66.7,6.91,-11.2,12.1,0
9:55:33 AM,6/10/2026,260610-095140-182.bin,182,0,9.045,12.864,9.046,9.483,0.06,0.34,737.7,0.12,0.36,153.1,217.5,141,0.1,221.4,0.9,0.1,0.9,,,188.1,-65.8,6.92,-11.3,12.1,0
9:55:32 AM,6/10/2026,260610-095140-182.bin,182,0,9.033,12.802,9.003,9.512,0.09,0.3,737.9,0.11,0.41,152.3,216.3,141,0.1,220.1,0.9,0.11,1,,,188.1,-65,6.92,-11.5,12.1,0
9:55:31 AM,6/10/2026,260610-095140-182.bin,182,0,8.997,12.767,8.978,9.517,0.1,0.4,737.9,0.14,0.41,151.6,215.2,140,0.1,219,0.9,0.11,1,,,188.2,-64,6.92,-11.6,12.1,0
9:55:30 AM,6/10/2026,260610-095140-182.bin,182,0,8.964,12.717,8.943,9.537,0.07,0.41,737.8,0.15,0.39,150.8,213.9,139,0.1,217.7,1,0.11,1,,,188.2,-62.9,6.92,-11.7,12.1,0
9:55:29 AM,6/10/2026,260610-095140-182.bin,182,0,8.921,12.673,8.912,9.58,0.04,0.29,737.9,0.11,0.36,150.3,213.1,139,0.1,216.9,1,0.11,1,,,188.3,-61.9,6.92,-11.8,12.1,0
9:55:28 AM,6/10/2026,260610-095140-182.bin,182,0,8.881,12.617,8.872,9.606,0.04,0.33,737.8,0.12,0.34,149.8,212.2,138,0.1,216,1,0.11,1,,,188,-60.9,6.93,-12.1,12.1,0
9:55:27 AM,6/10/2026,260610-095140-182.bin,182,0,8.854,12.539,8.818,9.677,0.08,0.48,737.8,0.15,0.39,149.1,210.8,137,0.1,214.5,1,0.11,1,,,187.8,-59.7,6.94,-12.5,12.1,0
9:55:26 AM,6/10/2026,260610-095140-182.bin,182,0,8.768,12.405,8.724,9.734,0.08,0.56,737.9,0.12,0.4,148.4,209.4,136,0.1,213.1,1,0.11,1,,,187.7,-58.5,6.94,-12.7,12.1,0
9:55:25 AM,6/10/2026,260610-095140-182.bin,182,0,8.673,12.306,8.654,9.771,0.05,0.54,737.8,0.09,0.36,147.9,208.6,136,0.1,212.3,1,0.12,1,,,187.6,-57.3,6.94,-12.9,12.1,0
9:55:24 AM,6/10/2026,260610-095140-182.bin,182,0,8.577,12.173,8.561,9.791,0.07,0.46,737.8,0.12,0.36,147.6,208.1,135,0.1,211.8,1,0.12,1.1,,,187.6,-55.9,6.95,-13.1,12.1,0
9:55:23 AM,6/10/2026,260610-095140-182.bin,182,0,8.549,12.16,8.551,9.785,0.11,0.46,737.8,0.09,0.38,147.4,207.8,135,0.1,211.5,1.1,0.12,1.1,,,187.5,-55,6.95,-13.2,12.1,0
9:55:22 AM,6/10/2026,260610-095140-182.bin,182,0,8.542,12.1,8.509,9.794,0.06,0.51,737.8,0.08,0.41,147.1,207.3,135,0.1,211,1.1,0.12,1.1,,,187.3,-54.3,6.95,-13.3,12.1,0
9:55:21 AM,6/10/2026,260610-095140-182.bin,182,0,8.475,12.055,8.477,9.854,-0.02,0.52,737.9,0.11,0.41,146.9,206.6,134,0.1,210.3,1.1,0.12,1.1,,,187.1,-53.4,6.95,-13.3,12.1,0
9:55:20 AM,6/10/2026,260610-095140-182.bin,182,0,8.428,11.967,8.416,9.921,0.03,0.42,737.8,0.13,0.39,146.5,205.7,134,0.1,209.3,1.1,0.12,1.1,,,186.9,-52.4,6.95,-13.3,12.1,0
9:55:19 AM,6/10/2026,260610-095140-182.bin,182,0,8.416,11.922,8.384,9.973,0.09,0.3,737.8,0.13,0.39,146,204.8,133,0.1,208.4,1.1,0.12,1.1,,,186.7,-51.4,6.95,-13.4,12.1,0
9:55:18 AM,6/10/2026,260610-095140-182.bin,182,0,8.364,11.847,8.332,10.024,0.1,0.47,737.8,0.14,0.37,145.9,204.2,133,0.1,207.9,1.1,0.12,1.1,,,186.6,-50.3,6.95,-13.5,12.1,0
9:55:17 AM,6/10/2026,260610-095140-182.bin,182,0,8.304,11.808,8.304,10.2,0.08,0.57,737.9,0.14,0.37,145.7,203.2,132,0.1,206.8,1.1,0.12,1.1,,,186.5,-49.3,6.96,-13.6,12.1,0
9:55:16 AM,6/10/2026,260610-095140-182.bin,182,0,8.271,11.755,8.267,10.35,0.1,0.51,737.9,0.15,0.46,145.6,202.1,131,0.1,205.7,1.1,0.12,1.1,,,186.5,-48.6,6.96,-13.7,12.1,0
9:55:15 AM,6/10/2026,260610-095140-182.bin,182,0,8.268,11.708,8.234,10.413,0.12,0.48,737.9,0.17,0.46,145.5,201.7,131,0.1,205.2,1.1,0.13,1.2,,,186.6,-47.5,6.96,-13.7,12.1,0
9:55:14 AM,6/10/2026,260610-095140-182.bin,182,0,8.223,11.644,8.189,10.376,0.08,0.58,737.9,0.15,0.4,145.4,201.8,131,0.1,205.4,1.2,0.13,1.2,,,186.6,-46.5,6.96,-13.7,12.1,0
9:55:13 AM,6/10/2026,260610-095140-182.bin,182,0,8.162,11.611,8.166,10.35,0.05,0.66,737.9,0.14,0.4,145.3,201.8,131,0.1,205.4,1.2,0.13,1.2,,,186.5,-45.5,6.96,-13.8,12.1,0
9:55:12 AM,6/10/2026,260610-095140-182.bin,182,0,8.137,11.535,8.112,10.38,0.03,0.56,737.8,0.14,0.38,145.1,201.4,131,0.1,204.9,1.2,0.13,1.2,,,186.3,-44.4,6.96,-14,12.1,0
9:55:11 AM,6/10/2026,260610-095140-182.bin,182,0,8.036,11.384,8.006,10.391,0.04,0.51,737.8,0.14,0.34,145,201.1,131,0.1,204.7,1.2,0.13,1.2,,,186.4,-43,6.96,-14,12.1,0
9:55:10 AM,6/10/2026,260610-095140-182.bin,182,0,7.964,11.284,7.936,10.411,0.08,0.59,737.8,0.17,0.41,144.7,200.6,130,0.1,204.2,1.2,0.13,1.2,,,186.4,-41.5,6.97,-14.2,12.1,0
9:55:09 AM,6/10/2026,260610-095140-182.bin,182,0,7.854,11.025,7.754,10.551,0.05,0.6,737.9,0.14,0.44,144.5,199.5,130,0.09,203,1.2,0.14,1.3,,,186.3,-40.1,6.97,-14.5,12.1,0
9:55:08 AM,6/10/2026,260610-095140-182.bin,182,0,7.635,10.805,7.599,10.613,0.03,0.52,737.9,0.13,0.43,144.5,199.3,130,0.09,202.8,1.3,0.14,1.3,,,186.2,-38.9,6.97,-14.6,12.1,0
9:55:07 AM,6/10/2026,260610-095140-182.bin,182,0,7.559,10.752,7.561,10.611,0.05,0.57,737.9,0.13,0.41,144.4,199.1,129,0.09,202.7,1.3,0.15,1.3,,,186.1,-37.6,6.98,-14.7,12.1,0
9:55:06 AM,6/10/2026,260610-095140-182.bin,182,0,7.561,10.722,7.541,10.671,0,0.62,737.9,0.12,0.42,144.2,198.6,129,0.09,202.1,1.3,0.15,1.4,,,186.2,-36.2,6.98,-14.8,12.1,0
9:55:05 AM,6/10/2026,260610-095140-182.bin,182,0,7.498,10.63,7.476,10.764,-0.01,0.58,737.9,0.12,0.43,144.1,197.8,129,0.09,201.3,1.3,0.15,1.4,,,186.3,-34.7,6.98,-14.9,12.1,0
9:55:04 AM,6/10/2026,260610-095140-182.bin,182,0,7.455,10.592,7.449,10.901,0.03,0.52,737.7,0.11,0.45,144,197,128,0.09,200.5,1.3,0.15,1.4,,,186.4,-33.4,6.98,-15,12.1,0
9:55:03 AM,6/10/2026,260610-095140-182.bin,182,0,7.391,10.49,7.378,10.98,0.05,0.48,737.8,0.12,0.47,143.9,196.5,128,0.09,199.9,1.4,0.15,1.4,,,186.4,-32.1,6.98,-15,12.1,0
9:55:02 AM,6/10/2026,260610-095140-182.bin,182,0,7.38,10.475,7.367,11.04,0.05,0.45,737.8,0.13,0.46,143.8,196.1,127,0.09,199.5,1.4,0.15,1.4,,,186.3,-31.2,6.98,-14.9,12.1,0
9:55:01 AM,6/10/2026,260610-095140-182.bin,182,0,7.367,10.426,7.333,11.117,-0.01,0.42,737.8,0.11,0.46,143.7,195.6,127,0.09,199,1.4,0.15,1.4,,,186.5,-29.5,6.98,-14.9,12.1,0
9:55:00 AM,6/10/2026,260610-095140-182.bin,182,0,7.291,10.362,7.288,11.135,0.01,0.43,737.8,0.13,0.47,143.6,195.4,127,0.09,198.8,1.4,0.15,1.4,,,186.5,-28.3,6.98,-14.9,12.1,0
9:54:59 AM,6/10/2026,260610-095140-182.bin,182,0,7.241,10.288,7.236,11.179,0.01,0.44,737.8,0.14,0.47,143.5,194.8,127,0.09,198.3,1.4,0.16,1.5,,,186.5,-27.1,6.98,-14.9,12.1,0
9:54:58 AM,6/10/2026,260610-095140-182.bin,182,0,7.217,10.222,7.19,11.299,0.02,0.54,737.8,0.12,0.42,143.3,194.1,126,0.09,197.5,1.5,0.16,1.5,,,186.6,-25.8,6.98,-15,12.1,0
9:54:57 AM,6/10/2026,260610-095140-182.bin,182,0,7.162,10.119,7.117,11.328,0.04,0.65,737.9,0.13,0.41,143.3,193.9,126,0.09,197.3,1.5,0.16,1.5,,,186.5,-24.6,6.98,-15.1,12.1,0
9:54:56 AM,6/10/2026,260610-095140-182.bin,182,0,7.055,9.972,7.014,11.515,0.05,0.53,737.8,0.14,0.43,143.4,193,125,0.09,196.3,1.5,0.16,1.5,,,186.3,-23.6,6.98,-15.2,12.1,0
9:54:55 AM,6/10/2026,260610-095140-182.bin,182,0,6.945,9.859,6.934,11.674,0.02,0.47,737.8,0.15,0.44,143.3,192.3,125,0.09,195.6,1.5,0.16,1.6,,,186.3,-22.3,6.99,-15.3,12.1,0
9:54:54 AM,6/10/2026,260610-095140-182.bin,182,0,6.923,9.802,6.894,11.702,0.02,0.65,737.9,0.12,0.41,143.3,192.1,125,0.09,195.4,1.6,0.17,1.6,,,186.3,-21.2,6.99,-15.3,12.1,0
9:54:53 AM,6/10/2026,260610-095140-182.bin,182,0,6.862,9.742,6.852,11.745,0.03,0.66,737.9,0.14,0.45,143.2,191.8,125,0.09,195.1,1.6,0.17,1.6,,,186.2,-19.6,6.99,-15.4,12.1,0
9:54:52 AM,6/10/2026,260610-095140-182.bin,182,0,6.8,9.627,6.771,11.851,0.01,0.54,737.9,0.16,0.47,143.3,191.3,124,0.09,194.6,1.6,0.17,1.6,,,186.2,-18.2,6.99,-15.5,12.1,0
9:54:51 AM,6/10/2026,260610-095140-182.bin,182,0,6.713,9.497,6.68,11.886,0,0.51,737.9,0.17,0.43,143.4,191.3,124,0.09,194.7,1.6,0.18,1.7,,,186.2,-16.8,6.99,-15.6,12.1,0
9:54:50 AM,6/10/2026,260610-095140-182.bin,182,0,6.642,9.413,6.621,11.935,0,0.51,737.9,0.17,0.43,143.5,191.2,124,0.09,194.5,1.7,0.18,1.7,,,186.3,-15.8,6.99,-15.7,12.1,0
9:54:49 AM,6/10/2026,260610-095140-182.bin,182,0,6.595,9.366,6.588,12.058,0.02,0.55,737.8,0.15,0.46,143.7,190.9,124,0.09,194.1,1.7,0.18,1.8,,,186.5,-14.1,6.99,-15.8,12.1,0
9:54:48 AM,6/10/2026,260610-095140-182.bin,182,0,6.58,9.338,6.568,12.051,0.04,0.55,737.9,0.15,0.46,143.8,191,124,0.09,194.3,1.7,0.19,1.8,,,186.4,-12.9,7,-15.8,12.1,0
9:54:47 AM,6/10/2026,260610-095140-182.bin,182,0,6.546,9.275,6.524,12.063,0.05,0.66,737.9,0.13,0.48,143.8,190.9,124,0.09,194.2,1.7,0.19,1.8,,,186.4,-10.9,7,-15.9,12.1,0
9:54:46 AM,6/10/2026,260610-095140-182.bin,182,0,6.472,9.2,6.471,12.187,0.03,0.75,737.8,0.11,0.49,143.6,190,124,0.09,193.3,1.8,0.19,1.8,,,186.4,-9.6,7,-15.9,12.1,0
9:54:45 AM,6/10/2026,260610-095140-182.bin,182,0,6.459,9.175,6.454,12.347,0,0.75,737.8,0.15,0.45,143.5,189.2,123,0.09,192.5,1.8,0.19,1.8,,,186.3,-7.5,7,-16,12.1,0
9:54:44 AM,6/10/2026,260610-095140-182.bin,182,0,6.428,9.076,6.384,12.511,0,0.71,737.9,0.18,0.44,143.5,188.4,122,0.09,191.6,1.8,0.19,1.9,,,186.2,-6.6,7,-16.1,12.1,0
9:54:43 AM,6/10/2026,260610-095140-182.bin,182,0,6.335,8.995,6.327,12.547,-0.01,0.69,737.8,0.14,0.46,143.5,188.3,122,0.09,191.5,1.9,0.2,1.9,,,186.3,-4.9,7,-16.2,12.1,0
9:54:42 AM,6/10/2026,260610-095140-182.bin,182,0,6.266,8.871,6.24,12.585,0.01,0.71,737.9,0.16,0.48,143.6,188.2,122,0.09,191.4,1.9,0.2,2,,,186.4,-3.3,7,-16.3,12.1,0
9:54:41 AM,6/10/2026,260610-095140-182.bin,182,0,6.209,8.778,6.175,12.704,0.06,0.62,737.9,0.17,0.48,143.8,187.9,122,0.09,191.1,1.9,0.2,2,,,186.4,-1.1,7.01,-16.5,12.1,0
9:54:40 AM,6/10/2026,260610-095140-182.bin,182,0,6.104,8.564,6.025,12.935,0,0.64,737.9,0.13,0.48,144.3,187.4,122,0.09,190.6,2,0.21,2,,,186.5,0.1,7.01,-16.6,12.1,0
9:54:39 AM,6/10/2026,260610-095140-182.bin,182,0,5.975,8.494,5.975,13.022,0,0.74,737.9,0.15,0.48,144.7,187.6,122,0.09,190.7,2,0.21,2.1,,,186.5,1.3,7.01,-16.6,12.1,0
9:54:38 AM,6/10/2026,260610-095140-182.bin,182,0,5.953,8.462,5.953,13.007,0.08,0.9,737.9,0.17,0.47,144.7,187.7,122,0.09,190.8,2.1,0.22,2.1,,,186.4,3.2,7.01,-16.7,12.1,0
9:54:37 AM,6/10/2026,260610-095140-182.bin,182,0,5.96,8.446,5.941,12.988,0.06,0.92,737.7,0.15,0.46,144.5,187.6,122,0.09,190.7,2.1,0.22,2.2,,,186.5,4.9,7.01,-16.6,12.1,0
9:54:36 AM,6/10/2026,260610-095140-182.bin,182,0,5.941,8.411,5.917,12.979,0.04,0.73,737.7,0.19,0.47,144.4,187.4,122,0.09,190.5,2.1,0.22,2.2,,,186.6,6.8,7.01,-16.7,12.1,0
9:54:35 AM,6/10/2026,260610-095140-182.bin,182,0,5.901,8.367,5.886,12.998,0.01,0.67,737.8,0.17,0.45,144.2,187.1,122,0.09,190.2,2.1,0.22,2.2,,,186.6,8.9,7.01,-16.8,12.1,0
9:54:34 AM,6/10/2026,260610-095140-182.bin,182,0,5.844,8.293,5.834,13.061,-0.02,0.68,737.8,0.13,0.47,144.2,186.8,121,0.09,189.9,2.2,0.23,2.3,,,186.5,11,7.02,-17,12.1,0
9:54:33 AM,6/10/2026,260610-095140-182.bin,182,0,5.821,8.248,5.803,13.228,0,0.72,737.8,0.17,0.47,144.2,186,121,0.09,189.1,2.2,0.23,2.3,,,186.5,13,7.02,-17.1,12.1,0
9:54:32 AM,6/10/2026,260610-095140-182.bin,182,0,5.804,8.228,5.788,13.242,0.03,0.71,737.9,0.18,0.43,144.2,186,121,0.09,189.1,2.3,0.24,2.3,,,186.5,15.3,7.02,-17.2,12.1,0
9:54:31 AM,6/10/2026,260610-095140-182.bin,182,0,5.783,8.209,5.775,13.234,0.05,0.65,737.8,0.16,0.46,144.2,186,121,0.09,189.1,2.3,0.24,2.4,,,186.4,17.9,7.02,-17.2,12.1,0
9:54:30 AM,6/10/2026,260610-095140-182.bin,182,0,5.755,8.156,5.738,13.271,0.03,0.63,737.9,0.17,0.5,144.1,185.8,121,0.09,188.8,2.3,0.24,2.4,,,186.4,20.2,7.02,-17.4,12.1,0
9:54:29 AM,6/10/2026,260610-095140-182.bin,182,0,5.704,8.077,5.682,13.396,0.07,0.79,737.8,0.2,0.49,144.4,185.5,121,0.09,188.5,2.4,0.25,2.4,,,186.4,22.5,7.03,-17.5,12.1,0
9:54:28 AM,6/10/2026,260610-095140-182.bin,182,0,5.67,8.056,5.668,13.564,0.07,0.79,737.9,0.18,0.52,144.8,185.3,120,0.09,188.3,2.4,0.25,2.5,,,186.6,24.8,7.03,-17.6,12.1,0
9:54:27 AM,6/10/2026,260610-095140-182.bin,182,0,5.666,8.011,5.636,13.684,0.06,0.7,737.9,0.16,0.51,145.3,185.3,120,0.09,188.3,2.5,0.26,2.5,,,186.6,26.9,7.03,-17.8,12.1,0
9:54:26 AM,6/10/2026,260610-095140-182.bin,182,0,5.611,7.966,5.605,13.734,0.05,0.72,737.7,0.16,0.52,145.5,185.3,120,0.09,188.3,2.5,0.26,2.6,,,186.7,29.1,7.03,-18,12.1,0
9:54:25 AM,6/10/2026,260610-095140-182.bin,182,0,5.571,7.936,5.583,13.798,0.01,0.67,737.7,0.18,0.51,145.5,185.1,120,0.09,188.1,2.6,0.26,2.6,,,186.6,31.6,7.04,-18.1,12.1,0
9:54:24 AM,6/10/2026,260610-095140-182.bin,182,0,5.591,7.927,5.577,13.829,0.02,0.67,737.8,0.2,0.46,145.5,184.9,120,0.09,187.9,2.6,0.27,2.7,,,186.8,34.3,7.04,-18.2,12.1,0
9:54:23 AM,6/10/2026,260610-095140-182.bin,182,0,5.58,7.887,5.549,13.982,0.07,0.83,737.7,0.2,0.54,145.4,184.2,120,0.09,187.1,2.6,0.27,2.7,,,186.8,37.2,7.04,-18.3,12.1,0
9:54:22 AM,6/10/2026,260610-095140-182.bin,182,0,5.516,7.839,5.515,14.184,0.06,0.96,737.8,0.19,0.56,145.5,183.2,119,0.09,186.1,2.7,0.27,2.8,,,186.7,40,7.04,-18.4,12.1,0
9:54:21 AM,6/10/2026,260610-095140-182.bin,182,0,5.475,7.797,5.486,14.297,-0.01,0.76,737.8,0.2,0.51,145.7,183.2,119,0.09,186.1,2.7,0.28,2.8,,,186.5,42.7,7.04,-18.6,12.1,0
9:54:20 AM,6/10/2026,260610-095140-182.bin,182,0,5.496,7.794,5.484,14.321,-0.02,0.7,737.8,0.22,0.5,145.9,183.3,119,0.09,186.2,2.7,0.28,2.8,,,186.6,45.6,7.05,-18.7,12.1,0
9:54:19 AM,6/10/2026,260610-095140-182.bin,182,0,5.473,7.733,5.441,14.38,0.01,0.74,737.9,0.22,0.49,145.9,183,119,0.09,185.9,2.7,0.28,2.8,,,186.6,48.6,7.05,-18.8,12.1,0
9:54:18 AM,6/10/2026,260610-095140-182.bin,182,0,5.415,7.691,5.412,14.611,0.01,0.79,737.7,0.19,0.51,145.9,181.8,118,0.09,184.6,2.8,0.28,2.8,,,186.5,51.8,7.05,-18.9,12.1,0
