KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,10/13/2023 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,1.62,6.38,118,2.642,167.8,83.6,83.6,9.4,151.4,3.756,0.08,164.8,1.19,1.03,107,773.05,0,NA,-28.2,10.136,2.814,38.90124,-92.34196,219.7,0,12.1,752
,,,STANDARD DEVIATION:,2.01,8,0.1,1.44,0.1,1.8,1.8,0.2,16.2,2.048,0,0.1,1.11,1.07,0,2290.42,0,0.05,3.1,0.012,1.381,0.00001,0.00001,1.5,0,0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,17F103116,17F103116,17C104840,18F101461,17C104840,18D104462,18D104462,18D104462,18E103391,18F101461,17C104840,17C104840,17F103116,17F103116,17C104840,18E100546,18E100546,18E103391,18E103391,17C104840,18F101461,17F105819,17F105819,17F105819,17F105819,17F105819,17F105819
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
11/18/2021,14:45:48,0,beth,1.2,4.73,118.1,3.12,167.8,82.8,82.8,9.31,158.7,4.436,0.08,164.8,0.57,0.43,107,-10.9,0,7.17,-27,10.142,3.303,38.90126,-92.34197,219.8,0,12.1,752
11/18/2021,14:45:49,0,beth,1.2,4.72,118.1,3.142,167.8,82.7,82.7,9.3,158.7,4.467,0.08,164.8,0.57,0.43,107,-10.89,0,7.17,-26.9,10.141,3.359,38.90125,-92.34197,219.9,0,12.1,752
11/18/2021,14:45:50,0,beth,1.19,4.7,118,3.169,167.8,82.7,82.7,9.3,158.7,4.506,0.08,164.8,0.56,0.43,107,-10.86,0,7.17,-26.8,10.14,3.419,38.90125,-92.34197,219.7,0,12.1,752
11/18/2021,14:45:51,0,beth,1.2,4.7,118,3.191,167.8,82.7,82.7,9.3,158.7,4.538,0.08,164.8,0.56,0.43,107,-10.89,0,7.17,-26.7,10.14,3.457,38.90125,-92.34197,219.9,0,12.1,752
11/18/2021,14:45:52,0,beth,1.2,4.73,118,3.213,167.7,82.6,82.6,9.29,158.7,4.569,0.08,164.8,0.56,0.43,107,-10.9,0,7.16,-26.7,10.139,3.498,38.90125,-92.34197,220.1,0,12.1,752
11/18/2021,14:45:53,0,beth,1.21,4.74,118,3.235,167.8,82.6,82.6,9.29,158.7,4.6,0.08,164.8,0.56,0.42,107,-10.9,0,7.16,-26.6,10.139,3.546,38.90125,-92.34196,220.2,0,12.1,751.9
11/18/2021,14:45:54,0,beth,1.21,4.78,118,3.262,167.8,82.6,82.6,9.29,158.7,4.639,0.08,164.8,0.57,0.43,107,-10.93,0,7.16,-26.5,10.138,3.604,38.90125,-92.34196,220.4,0,12.1,752
11/18/2021,14:45:55,0,beth,1.23,4.82,118.1,3.285,167.8,82.6,82.6,9.29,158.7,4.671,0.08,164.9,0.56,0.43,107,-10.96,0,7.16,-26.4,10.137,3.65,38.90124,-92.34196,220.6,0,12.1,752
11/18/2021,14:45:56,0,beth,1.23,4.85,118,3.307,167.8,82.5,82.5,9.28,158.7,4.703,0.08,164.8,0.57,0.43,107,-10.95,0,7.16,-26.4,10.136,3.691,38.90124,-92.34196,220.7,0,12.1,751.9
11/18/2021,14:45:57,0,beth,1.25,4.9,118,3.33,167.8,82.5,82.5,9.28,158.7,4.735,0.08,164.8,0.56,0.42,107,-10.96,0,7.16,-26.3,10.135,3.753,38.90124,-92.34196,220.8,0,12.1,752
11/18/2021,14:45:58,0,beth,1.24,4.87,118,3.354,167.8,82.5,82.5,9.28,158.7,4.769,0.08,164.8,0.56,0.42,107,-10.94,0,7.16,-26.2,10.133,3.815,38.90124,-92.34196,220.9,0,12.1,752
11/18/2021,14:45:59,0,beth,1.24,4.9,118,3.385,167.8,82.5,82.5,9.27,158.7,4.813,0.08,164.9,0.56,0.42,107,-10.94,0,7.15,-26.2,10.132,3.945,38.90124,-92.34196,221,0,12.1,751.9
11/18/2021,14:46:00,0,beth,1.25,4.91,118,3.414,167.8,82.4,82.4,9.27,158.7,4.855,0.08,164.9,0.56,0.42,107,-10.96,0,7.15,-26.1,10.131,4.067,38.90123,-92.34196,221.1,0,12.1,752
