Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,nrow_original_Level0,nrow_readProfile,nrow_Level1,Level1FileName
039_2020_09_01.csv,039,2020,09,01,csv,Yes,2026-01-28,2020-09-01,15.265,37.72739716510903,-90.91786236760124,331.87102803738316,975.7043613707165,0.11,0.11444444444444445,377,127,107,039_2020_09_01_Level1.csv
039_2020_09_17.csv,039,2020,09,17,csv,Yes,2026-01-28,2020-09-17,11.132333333333333,37.72733908730159,-90.92221857142857,329.4845238095238,982.9378968253968,0.1,0.1288888888888889,290,97,84,039_2020_09_17_Level1.csv
048_2020_06_04.csv,048,2020,06,04,csv,Yes,2026-01-28,2020-06-04,10.192666666666668,39.75892878787879,-92.51444535353535,238.03080808080807,980.2346801346802,1.1766666666666665,1.4172222222222222,308,103,99,048_2020_06_04_Level1.csv
048_2020_07_13.csv,048,2020,07,13,csv,Yes,2026-01-28,2020-07-13,9.524,39.756446946107786,-92.51603419161677,240.0377245508982,986.5287425149701,0.05,0.058333333333333334,208,208,167,048_2020_07_13_Level1.csv
048_2020_07_27.csv,048,2020,07,27,csv,Yes,2026-01-28,2020-07-27,9.811,39.757055973154365,-92.5158377852349,240.05973154362417,991.8308724832215,NA,NA,185,185,149,048_2020_07_27_Level1.csv
048_2020_08_24.csv,048,2020,08,24,csv,Yes,2026-01-28,2020-08-24,8.976,39.76120835341366,-92.51378678714859,238.0871485943775,991.4144578313253,0.21,0.21888888888888888,301,101,83,048_2020_08_24_Level1.csv
051_2020_06_23.csv,051,2020,06,23,csv,Yes,2026-01-28,2020-06-23,5.03,40.5000505882353,-93.02444249999999,295.83235294117645,982.4485294117646,0.27,0.29833333333333334,128,128,68,051_2020_06_23_Level1.csv
051_2020_07_14.csv,051,2020,07,14,csv,Yes,2026-01-28,2020-07-14,5.088,40.49989537735849,-93.02456915094339,291.6490566037736,976.3698113207547,0.4,0.42166666666666663,151,151,106,051_2020_07_14_Level1.csv
051_2020_07_28.csv,051,2020,07,28,csv,Yes,2026-01-28,2020-07-28,5.142,40.50027507462686,-93.02474641791045,296.3,982.9626865671642,NA,NA,85,85,67,051_2020_07_28_Level1.csv
051_2020_08_25.csv,051,2020,08,25,csv,Yes,2026-01-28,2020-08-25,5.019333333333333,40.50021675438597,-93.02497346491228,294.1486842105263,984.0399122807017,0.09666666666666666,0.13833333333333334,328,110,76,051_2020_08_25_Level1.csv
057_2020_06_24.csv,057,2020,06,24,csv,Yes,2026-01-28,2020-06-24,5.721,40.180900194174754,-91.82842446601941,201.1349514563107,993.704854368932,0.22,0.22666666666666668,128,128,103,057_2020_06_24_Level1.csv
057_2020_07_15.csv,057,2020,07,15,csv,Yes,2026-01-28,2020-07-15,6.235,40.180648125,-91.82833116071428,198.94196428571428,987.3803571428571,0.12,0.12333333333333334,132,132,112,057_2020_07_15_Level1.csv
057_2020_07_29.csv,057,2020,07,29,csv,Yes,2026-01-28,2020-07-29,6.823,40.18048049504951,-91.82797910891088,198.22871287128714,993.6039603960396,NA,NA,125,125,101,057_2020_07_29_Level1.csv
057_2020_08_25.csv,057,2020,08,25,csv,Yes,2026-01-28,2020-08-25,6.909666666666666,40.18044883895131,-91.82796749063671,196.95767790262173,997.3277153558053,0.05,0.052222222222222225,343,115,89,057_2020_08_25_Level1.csv
070_2020_06_10.csv,070,2020,06,10,csv,Yes,2026-01-28,2020-06-10,5.04,38.686878750000005,-94.35858134615384,277.9586538461538,975.623076923077,0.22,0.24333333333333335,145,145,104,070_2020_06_10_Level1.csv
070_2020_07_07.csv,070,2020,07,07,csv,Yes,2026-01-28,2020-07-07,5.08,38.68682449438202,-94.35865606741572,281.8393258426966,982.0078651685393,0.11,0.11499999999999999,115,115,89,070_2020_07_07_Level1.csv
070_2020_08_03.csv,070,2020,08,03,csv,Yes,2026-01-28,2020-08-03,5.304,38.68680943661972,-94.35860633802817,281.00704225352115,989.1042253521127,0.76,0.8333333333333334,102,102,71,070_2020_08_03_Level1.csv
070_2020_08_18.csv,070,2020,08,18,csv,Yes,2026-01-28,2020-08-18,5.282,38.68672567164179,-94.35859164179105,279.565671641791,990.6283582089552,0.5,0.5616666666666666,87,87,67,070_2020_08_18_Level1.csv
072_2020_06_16.csv,072,2020,06,16,csv,Yes,2026-01-28,2020-06-16,13.565666666666667,39.40196048192771,-94.5451018875502,258.3389558232932,992.7128514056225,0.09666666666666666,0.09722222222222222,281,94,83,072_2020_06_16_Level1.csv
072_2020_07_07.csv,072,2020,07,07,csv,Yes,2026-01-28,2020-07-07,14.343666666666666,39.39848493902439,-94.54995762195122,260.2461382113821,988.0656504065041,0.006666666666666667,0.009444444444444445,552,184,164,072_2020_07_07_Level1.csv
072_2020_07_31.csv,072,2020,07,31,csv,Yes,2026-01-28,2020-07-31,14.853666666666667,39.39862685763889,-94.55065072916666,257.5107638888889,987.4194444444445,NA,NA,713,238,192,072_2020_07_31_Level1.csv
072_2020_09_04.csv,072,2020,09,04,csv,Yes,2026-01-28,2020-09-04,12.775,39.40026649275362,-94.55308805797101,259.3272463768116,994.7304347826088,0.09,0.10444444444444445,356,120,115,072_2020_09_04_Level1.csv
074_2020_06_16.csv,074,2020,06,16,csv,Yes,2026-01-28,2020-06-16,9.143333333333333,39.39472233766234,-94.26194675324676,268.6943722943723,992.9147186147186,0.07,0.07,308,103,77,074_2020_06_16_Level1.csv
074_2020_07_07.csv,074,2020,07,07,csv,Yes,2026-01-28,2020-07-07,8.877666666666666,39.39379254716981,-94.26215062893083,269.9676100628931,987.6915094339623,0.03,0.03,339,114,106,074_2020_07_07_Level1.csv
074_2020_07_31.csv,074,2020,07,31,csv,Yes,2026-01-28,2020-07-31,10.063333333333334,39.39401388520971,-94.26252114790287,271.3233995584989,985.6194260485652,NA,NA,676,226,151,074_2020_07_31_Level1.csv
074_2020_09_04.csv,074,2020,09,04,csv,Yes,2026-01-28,2020-09-04,9.386666666666667,39.39407306122449,-94.26228738095239,270.6863945578231,994.2268707482993,0.06,0.06055555555555556,312,104,98,074_2020_09_04_Level1.csv
087_2020_06_04.csv,087,2020,06,04,csv,Yes,2026-01-28,2020-06-04,10.461666666666666,39.796105555555556,-93.02698383512545,241.57383512544803,979.1254480286739,0.07,0.07444444444444445,342,114,93,087_2020_06_04_Level1.csv
087_2020_07_13.csv,087,2020,07,13,csv,Yes,2026-01-28,2020-07-13,10.164,39.79607431137725,-93.02708820359281,239.45928143712575,985.5275449101797,0.06,0.06,178,178,167,087_2020_07_13_Level1.csv
087_2020_07_27.csv,087,2020,07,27,csv,Yes,2026-01-28,2020-07-27,10.201,39.79602641975308,-93.02718944444445,241.34506172839505,991.8358024691357,NA,NA,179,179,162,087_2020_07_27_Level1.csv
087_2020_09_10.csv,087,2020,09,10,csv,Yes,2026-01-28,2020-09-10,8.952,39.7959184751773,-93.02760482269504,241.30673758865248,999.8418439716312,0.38333333333333336,0.435,335,113,94,087_2020_09_10_Level1.csv
089_2020_06_30.csv,089,2020,06,30,csv,Yes,2026-01-28,2020-06-30,14.614666666666666,38.26686389978214,-93.40764991285404,213.59433551198256,982.3555555555555,0.05,0.05,762,255,153,089_2020_06_30_Level1.csv
089_2020_08_07.csv,089,2020,08,07,csv,Yes,2026-01-28,2020-08-07,14.315666666666667,38.26563564971752,-93.40643810734463,213.29491525423728,995.2310734463277,0.04,0.035,473,158,118,089_2020_08_07_Level1.csv
089_2020_08_21.csv,089,2020,08,21,csv,Yes,2026-01-28,2020-08-21,14.013666666666666,38.26730626506024,-93.40807072289157,210.8722891566265,990.7670682730924,0.08,0.09277777777777778,272,92,83,089_2020_08_21_Level1.csv
089_2020_09_19.csv,089,2020,09,19,csv,Yes,2026-01-28,2020-09-19,11.495333333333333,38.267906893203886,-93.41100275080906,210.13915857605178,1002.8032362459546,0.07,0.08055555555555556,319,107,103,089_2020_09_19_Level1.csv
091_2020_06_15.csv,091,2020,06,15,csv,Yes,2026-01-28,2020-06-15,4.324,38.0067296,-94.0474796,217.571,994.3349999999999,0.81,0.9566666666666667,147,147,100,091_2020_06_15_Level1.csv
091_2020_07_07.csv,091,2020,07,07,csv,Yes,2026-01-28,2020-07-07,4.816,38.005710804597705,-94.04723,219.13103448275862,986.6724137931035,0.2,0.20666666666666667,128,128,87,091_2020_07_07_Level1.csv
091_2020_08_04.csv,091,2020,08,04,csv,Yes,2026-01-28,2020-08-04,4.794,38.00577666666667,-94.04689848484848,218.3060606060606,997.8166666666666,6.3,6.366666666666666,87,87,66,091_2020_08_04_Level1.csv
091_2020_08_18.csv,091,2020,08,18,csv,Yes,2026-01-28,2020-08-18,4.585,38.005562000000005,-94.0468095,217.85666666666665,995.96,4.6,5.096666666666667,85,85,60,091_2020_08_18_Level1.csv
092_2020_06_15.csv,092,2020,06,15,csv,Yes,2026-01-28,2020-06-15,23.346,37.90114112582781,-93.31730973509934,254.3419426048565,989.7368653421634,0,0.0033333333333333335,476,160,151,092_2020_06_15_Level1.csv
092_2020_07_08.csv,092,2020,07,08,csv,Yes,2026-01-28,2020-07-08,22.783,37.90116071090047,-93.31699672985782,255.52890995260663,982.108056872038,0.01,0.01,246,246,211,092_2020_07_08_Level1.csv
092_2020_08_07.csv,092,2020,08,07,csv,Yes,2026-01-28,2020-08-07,21.036,37.89774039215686,-93.31858736185383,254.27736185383245,992.5376114081996,NA,0,686,229,187,092_2020_08_07_Level1.csv
092_2020_08_19.csv,092,2020,08,19,csv,Yes,2026-01-28,2020-08-19,21.591,37.89985011299435,-93.31810892655368,253.60225988700566,991.1463276836158,0.07,0.07833333333333334,199,199,177,092_2020_08_19_Level1.csv
093_2020_06_15.csv,093,2020,06,15,csv,Yes,2026-01-28,2020-06-15,19.803,37.688183492063494,-93.77134111111111,262.32380952380953,989.4526455026455,2.2033333333333336,2.3177777777777777,429,144,126,093_2020_06_15_Level1.csv
093_2020_07_07.csv,093,2020,07,07,csv,Yes,2026-01-28,2020-07-07,14.817333333333334,37.68320544342508,-93.77491709480122,260.7889908256881,981.0155963302752,0.01,0.014444444444444444,333,112,109,093_2020_07_07_Level1.csv
093_2020_08_04.csv,093,2020,08,04,csv,Yes,2026-01-28,2020-08-04,13.633,37.68366516129032,-93.77505148387097,260.12193548387097,992.9006451612903,0.11,0.11,185,185,155,093_2020_08_04_Level1.csv
093_2020_08_18.csv,093,2020,08,18,csv,Yes,2026-01-28,2020-08-18,15.44,37.68347526011561,-93.77349115606937,259.9,989.9312138728324,0.07,0.07,199,199,173,093_2020_08_18_Level1.csv
094-EA-05-00_2020_06_26.csv,094-EA-05-00,2020,06,26,csv,Yes,2026-01-28,2020-06-26,2.299,37.482207307692306,-94.24325076923077,288.3076923076923,981.2153846153847,0.41,0.575,90,90,52,094-EA-05-00_2020_06_26_Level1.csv
094-EA-05-00_2020_07_28.csv,094-EA-05-00,2020,07,28,csv,Yes,2026-01-28,2020-07-28,2.327,NA,NA,NA,983.4925925925926,0.07,0.16166666666666668,192,192,54,094-EA-05-00_2020_07_28_Level1.csv
